"","ltc","domain","source","Karolinska","sex","CPRD_prev","SIDIAP_prev","UKB_Ncases","UKB_Ncontrols","UKB_Neff","UKB_h2","UKB_h2SE","UKB_h2Z","FinnGen_endpoint","FinnGen_h2Z","FinnGen_UKBrg","Consortium_PMID","Consortium_UKB","Consortium_FinnGen","Consortium_h2Z","Consortium_UKBrg","MA_data","MA_Neff","In_final_72"
"26","Epilepsy","Diseases of the nervous system","CALIBER","partial","both",1.79,1.29,7729,442468,30385,0.03,0.01,3.42,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"no"
"27","Erectile dysfunction","Diseases of the genitourinary system","CALIBER","partial","male",24.69,2.09,17733,188004,64818,0.05,0.01,5.91,"N14_IMPOTENCE",0.77,0.97,30583798,TRUE,FALSE,3.51,1.15,"No meta-analysis needed, only using UKB.",64818,"yes"
"28","Essential tremor","Diseases of the nervous system","CALIBER","full","both",0.86,1.56,1705,448492,6794,0.21,0.03,6.09,"G6_XTRAPYROTH",4.33,0.74,NA,NA,NA,NA,NA,"No meta-analysis needed, only using UKB.",6794,"yes"
"29","Female genital prolapse","Diseases of the genitourinary system","CALIBER","full","female",13.02,6.68,21872,222588,79660,0.13,0.01,13.09,"N14_FEMGENPROL",12.9,0.87,NA,NA,NA,NA,NA,"Studies used: UKB and FinnGen.",105041,"yes"
"30","Fibromatoses","Diseases of the musculoskeletal system and connective tissue","CALIBER","partial","both",3.53,1.42,9437,440760,36957,0.25,0.03,7.97,"M13_DUPUTRYEN",2.52,0.89,NA,NA,NA,NA,NA,"No meta-analysis needed, only using UKB.",36957,"yes"
"31","Fibromyalgia","Diseases of the musculoskeletal system and connective tissue","Revised CALIBER","","both",1.18,1.74,4773,445424,18890,0.1,0.01,6.48,"M13_FIBROMYALGIA",5.42,0.78,NA,NA,NA,NA,NA,"No meta-analysis needed, only using UKB.",18890,"yes"
"32","Gastritis and duodeniti","Diseases of the digestive system","Revised CALIBER","partial","both",8.37,4.69,54205,395992,190714,0.05,0,13.33,"K11_CHRONGASTR",2.71,1.1,NA,NA,NA,NA,NA,"No meta-analysis needed, only using UKB.",190714,"yes"
"33","Gastro-oesophageal reflux disease","Diseases of the digestive system","CALIBER","full","both",15.06,11.18,67458,382739,229400,0.07,0,19.82,"K11_REFLUX",13.53,0.8,31527586,TRUE,FALSE,25.82,0.96,"Studies used: FinnGen and Consortium data (UKB in Consortium).",200226,"yes"
"34","Glaucoma","Diseases of the eye and adnexa","CALIBER","full","both",5.44,9.73,13414,436783,52057,0.15,0.01,11.66,"H7_GLAUCOMA",11.54,0.88,33627673,FALSE,TRUE,12.15,0.92,"Studies used: UKB and Consortium data (FinnGen in Consortium).",93862,"yes"
"35","Gout","Diseases of the musculoskeletal system and connective tissue","CALIBER","full","both",8.24,5.63,16979,433218,65355,0.16,0.03,5.25,"M13_GOUT",4.27,0.81,31578528,FALSE,FALSE,5.33,0.9,"Studies used: UKB, FinnGen and Consortium data.",164424,"yes"
"36","Hearing loss","Diseases of the ear and mastoid process","CALIBER","partial","both",20.79,16.1,35438,414759,130594,0.04,0,8.46,"H8_HL_SEN_NAS",10.27,0.92,35661827,TRUE,TRUE,21.37,0.9,"No meta-analysis needed, only using Consortium data (UKB and FinnGen included in Consortium).",355242,"yes"
"37","Heart failure","Diseases of the circulatory system","CALIBER","full","both",4.93,5.45,18744,431453,71854,0.07,0.01,9.12,"I9_HEARTFAIL",10.88,0.92,31919418,TRUE,FALSE,12.42,0.93,"Studies used: FinnGen and Consortium data (UKB in Consortium).",170238,"yes"
"38","Hyperparathyroidism","Endocrine, nutritional and metabolic diseases","CALIBER","full","both",0.75,1.03,2421,447776,9632,0.06,0.02,2.66,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"no"
"39","Hyperplasia of prostate","Diseases of the genitourinary system","CALIBER","full","male",17.27,41.7,31669,174068,107177,0.1,0.01,10.92,"N14_PROSTHYPERPLA",8.66,0.93,NA,NA,NA,NA,NA,"Studies used: UKB and FinnGen.",154850,"yes"
"40","Hypertension","Diseases of the circulatory system","CALIBER","full","both",51.74,63.3,158746,291451,411079,0.19,0.01,25.99,"I9_HYPTENS",19.51,0.88,NA,NA,NA,NA,NA,"Studies used: UKB and FinnGen.",549245,"yes"
"41","Hyperthyroidism (without hypo)","Endocrine, nutritional and metabolic diseases","Revised CALIBER","","both",1.82,1.43,5776,444421,22808,0.07,0.02,4.42,"THYROTOXICOSIS",6.2,0.88,30367059,FALSE,FALSE,-2.8,NA,"Studies used: UKB and FinnGen.",42470,"yes"
"42","Hypothyroidism (without hyper)","Endocrine, nutritional and metabolic diseases","Revised CALIBER","","both",8.66,5.98,32764,417433,121518,0.18,0.01,12.31,"E4_HYTHY_AI_STRICT",7.83,0.89,30367059,FALSE,FALSE,0.95,1.79,"Studies used: UKB and FinnGen.",203221,"yes"
"43","Insomnia","Diseases of the nervous system","PPI input?","","both",8.9,17.34,12131,438066,47216,0.04,0.01,5.56,"F5_INSOMNIA",4.85,0.39,NA,NA,NA,NA,NA,"No meta-analysis needed, only using UKB.",47216,"yes"
"44","Intervertebral disc disorders","Diseases of the musculoskeletal system and connective tissue","CALIBER","full","both",5.89,7.89,23918,426279,90589,0.08,0.01,11.91,"M13_INTERVERTEB",17.83,0.91,NA,NA,NA,NA,NA,"Studies used: UKB and FinnGen.",172949,"yes"
"45","Iron deficiency anaemia","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","CALIBER","full","both",6.56,5.24,26052,424145,98178,0.05,0.01,8.13,"D3_ANAEMIA_IRONDEF",3.63,0.95,NA,NA,NA,NA,NA,"No meta-analysis needed, only using UKB.",98178,"yes"
"46","Irritable bowel syndrome","Diseases of the digestive system","CALIBER","full","both",7.25,1.6,25524,424673,96308,0.06,0,12.87,"K11_IBS",5.53,0.87,34741163,TRUE,FALSE,17.08,0.85,"Studies used: FinnGen and Consortium data (UKB in Consortium).",36174,"yes"
"47","Ischaemic stroke","Diseases of the circulatory system","CALIBER","","both",1.41,2.21,9824,440373,38439,0.03,0.01,3.43,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"no"
"48","Ischaemic stroke and TIA","Diseases of the circulatory system","Revised CALIBER","full","both",5.71,3.66,18351,431846,70412,0.04,0.01,6.38,"",NA,NA,NA,NA,NA,NA,NA,"No meta-analysis needed, only using UKB.",70412,"yes"
"49","Lichen planus","Diseases of the skin and subcutaneous tissue","CALIBER","partial","both",1.58,1.05,3210,446987,12748,0.06,0.02,3.28,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"no"
"50","Macular degeneration","Diseases of the eye and adnexa","CALIBER","full","both",4.12,2.27,11049,439148,43111,0.05,0.02,2.97,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"no"
"51","Migraine","Diseases of the nervous system","CALIBER","full","both",7.16,2.53,21867,428330,83219,0.07,0.01,13.36,"G6_MIGRAINE",12.04,0.87,27322543,FALSE,FALSE,10.93,0.99,"Studies used: UKB, FinnGen and Consortium data.",139097,"yes"
"52","Nonrheumatic valve disease","Diseases of the circulatory system","Revised CALIBER","","both",4.38,6.33,15514,434683,59918,0.05,0.01,6.86,"I9_NONRHEVALV",9.38,0.9,NA,NA,NA,NA,NA,"Studies used: UKB and FinnGen.",106170,"yes"
"53","Obesity","Endocrine, nutritional and metabolic diseases","CALIBER","full","both",11.46,32.32,48062,402135,171724,0.17,0.01,22.49,"E4_OBESITY",17.87,0.85,NA,NA,NA,NA,NA,"Studies used: UKB and FinnGen.",187663,"yes"
"54","Osteoarthritis (excl spine)","Diseases of the musculoskeletal system and connective tissue","CALIBER","full","both",35.31,37.84,111798,338399,336140,0.1,0,21.13,"M13_ARTHROSIS_INCLAVO",21.26,0.89,34450027,TRUE,FALSE,22.78,0.97,"Studies used: FinnGen and Consortium data (UKB in Consortium).",587850,"yes"
"55","Osteoporosis","Diseases of the musculoskeletal system and connective tissue","CALIBER","full","both",9.95,14.77,25743,424454,97084,0.1,0.01,12.99,"M13_OSTEOPOROSIS",6.17,0.71,NA,NA,NA,NA,NA,"No meta-analysis needed, only using UKB.",97084,"yes"
"56","Parkinson's disease","Diseases of the nervous system","CALIBER","partial","both",0.99,1.42,3973,446224,15752,0.05,0.02,3.33,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"no"
"57","Peptic ulcer disease","Diseases of the digestive system","CALIBER","partial","both",3.96,3.34,16533,433664,63703,0.05,0.01,7.58,"K11_GASTRODUOULC",4.13,1.04,NA,NA,NA,NA,NA,"Studies used: UKB and FinnGen.",74496,"yes"
"58","Peripheral arterial disease","Diseases of the circulatory system","Revised CALIBER","partial","both",2.82,3.78,7219,442978,28413,0.08,0.01,5.94,"I9_OTHPER",1.38,0.79,NA,NA,NA,NA,NA,"No meta-analysis needed, only using UKB.",28413,"yes"
"59","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)","Diseases of the nervous system","CALIBER","","both",4.74,2.27,15429,434768,59601,0.04,0.01,7.47,"G6_POLYOTHUNS",3.15,0.54,NA,NA,NA,NA,NA,"No meta-analysis needed, only using UKB.",59601,"yes"
"60","Polymyalgia Rheumatica","Diseases of the musculoskeletal system and connective tissue","CALIBER","full","both",2.94,1.61,5366,444831,21208,0.08,0.01,5.73,"M13_POLYMYALGIA",3.93,0.8,NA,NA,NA,NA,NA,"No meta-analysis needed, only using UKB.",21208,"yes"
"61","Primary Malignancy_Bladder","Neoplasms","CALIBER","full","both",0.87,1.63,4462,445735,17671,0.08,0.02,5.03,"C3_BLADDER_EXALLC",2.41,0.41,NA,NA,NA,NA,NA,"No meta-analysis needed, only using UKB.",17671,"yes"
"62","Primary Malignancy_Breast","Neoplasms","CALIBER","full","female",7.1,5.32,19565,224895,71997,0.12,0.01,8.73,"C3_BREAST_EXALLC",8.34,0.9,32424353,TRUE,FALSE,11.62,0.92,"Studies used: FinnGen and Consortium data (UKB in Consortium).",146586,"yes"
"63","Primary Malignancy_Colorectal","Neoplasms","Revised CALIBER","","both",1.74,2.67,9391,440806,36780,0.07,0.01,5.99,"C3_COLORECTAL_EXALLC",5.05,1.04,NA,NA,NA,NA,NA,"Studies used: UKB and FinnGen.",46947,"yes"
"64","Primary Malignancy_Malignant Melanoma","Neoplasms","CALIBER","full","both",1.37,0.6,5673,444524,22406,0.07,0.02,3.84,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"no"
"65","Primary Malignancy_Other Skin and subcutaneous tissue","Neoplasms","CALIBER","full","both",9.04,6.28,30318,419879,113105,0.12,0.01,9.16,"C3_OTHER_SKIN_EXALLC",7.6,0.87,NA,NA,NA,NA,NA,"Studies used: UKB and FinnGen.",135554,"yes"
"66","Primary Malignancy_Prostate","Neoplasms","CALIBER","full","male",6.99,7.48,14379,191358,53496,0.18,0.02,8.68,"C3_PROSTATE_EXALLC",7.26,0.89,NA,NA,NA,NA,NA,"Studies used: UKB and FinnGen.",77026,"yes"
"67","Psoriasis","Diseases of the skin and subcutaneous tissue","CALIBER","partial","both",5.31,3.32,11970,438227,46607,0.07,0.01,7.37,"L12_PSORIASIS",9.7,0.88,NA,NA,NA,NA,NA,"Studies used: UKB and FinnGen.",62694,"yes"
"68","Raynaud's syndrome","Diseases of the circulatory system","CALIBER","full","both",1.71,0.5,5707,444490,22539,0.07,0.01,5.67,"",NA,NA,NA,NA,NA,NA,NA,"No meta-analysis needed, only using UKB.",22539,"yes"
"69","Retinal detachments and breaks","Diseases of the eye and adnexa","CALIBER","full","both",1.48,0.73,6525,443672,25722,0.12,0.01,8.24,"H7_RETINALDETACH",5.78,0.65,NA,NA,NA,NA,NA,"No meta-analysis needed, only using UKB.",25722,"yes"
"70","Rheumatoid Arthritis","Diseases of the musculoskeletal system and connective tissue","CALIBER","partial","both",2.13,1.15,9952,440245,38928,0.06,0.01,6.42,"M13_RHEUMA",6.55,0.9,35470158,TRUE,TRUE,8.03,0.94,"No meta-analysis needed, only using Consortium data (UKB and FinnGen included in Consortium).",104920,"yes"
"71","Schizophrenia, schizotypal and delusional disorders","Mental and behavioural disorders","CALIBER","partial","both",0.78,0.76,2128,448069,8472,0.13,0.03,4.78,"KRA_PSY_SCHIZODEL_EXMORE",9.62,0.86,35396580,FALSE,FALSE,29.43,0.9,"Studies used: UKB, FinnGen and Consortium data.",68041,"yes"
"72","Scoliosis","Diseases of the musculoskeletal system and connective tissue","CALIBER","full","both",1.05,3.53,4129,446068,16365,0.08,0.02,5.22,"M13_SCOLIOSIS",4.11,0.88,NA,NA,NA,NA,NA,"Studies used: UKB and FinnGen.",19811,"yes"
"73","Sleep apnoea","Diseases of the nervous system","CALIBER","full","both",1.81,4.26,10697,439500,41771,0.13,0.01,13.61,"G6_SLEEPAPNO_INCLAVO",17.96,0.85,NA,NA,NA,NA,NA,"Studies used: UKB and FinnGen.",151872,"yes"
"74","Spondylolisthesis","Diseases of the musculoskeletal system and connective tissue","CALIBER","full","both",0.73,1.79,3721,446476,14761,0.11,0.02,5.6,"M13_SPONDYLOLISTHESIS",9.76,0.76,NA,NA,NA,NA,NA,"No meta-analysis needed, only using UKB.",14761,"yes"
"75","Spondylosis","Diseases of the musculoskeletal system and connective tissue","CALIBER","full","both",12.21,11.56,32208,417989,119615,0.06,0.01,10.97,"M13_SPONDYLOSIS",14.15,0.78,NA,NA,NA,NA,NA,"No meta-analysis needed, only using UKB.",119615,"yes"
"76","Tendon disorders","Diseases of the musculoskeletal system and connective tissue","Revised CALIBER","","both",22,6.28,51531,398666,182530,0.05,0,12.75,"M13_SYNOTEND",9.52,0.82,NA,NA,NA,NA,NA,"Studies used: UKB and FinnGen.",191691,"yes"
"77","Thromboembolic","Diseases of the circulatory system","Revised CALIBER","","both",4.85,1.46,18060,432137,69342,0.1,0.01,8.79,"I9_VTE",6.5,0.91,NA,NA,NA,NA,NA,"Studies used: UKB and FinnGen.",109554,"yes"
"78","Tinnitus","Diseases of the ear and mastoid process","CALIBER","","both",7.41,5.75,11869,438328,46224,0.06,0.01,7.46,"H8_TINNITUS",4.63,0.84,NA,NA,NA,NA,NA,"Studies used: UKB and FinnGen.",55780,"yes"
"79","Transient ischaemic attack","Diseases of the circulatory system","CALIBER","","both",4.58,1.6,10676,439521,41691,0.03,0.01,4.03,"I9_TIA",6.73,0.98,NA,NA,NA,NA,NA,"Studies used: UKB and FinnGen.",87022,"yes"
"80","Ulcerative colitis","Diseases of the digestive system","CALIBER","full","both",0.97,0.52,5555,444642,21946,0.1,0.02,6.65,"K11_UC_STRICT2",6.8,0.91,28067908,FALSE,FALSE,9.27,1.02,"Studies used: UKB, FinnGen and Consortium data.",47427,"yes"
"81","Urinary Incontinence","Diseases of the genitourinary system","CALIBER","full","both",7.82,18.58,24289,425908,91914,0.08,0.01,13.26,"",NA,NA,NA,NA,NA,NA,NA,"No meta-analysis needed, only using UKB.",91914,"yes"
"82","Urolithiasis","Diseases of the genitourinary system","Revised CALIBER","partial","both",2.89,5.11,11764,438433,45826,0.12,0.01,11.68,"N14_CALCUKIDUR",9.27,0.8,NA,NA,NA,NA,NA,"Studies used: UKB and FinnGen.",63548,"yes"
"83","Visual impairment and blindness","Diseases of the eye and adnexa","Revised CALIBER","partial","both",2.5,2.42,4113,446084,16302,0.01,0.01,0.36,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"no"
"84","Vitamin B12 deficiency anaemia","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","CALIBER","full","both",5.14,0.98,4528,445669,17930,0.09,0.02,5.73,"D3_ANAEMIA_B12_DEF",5.27,0.52,NA,NA,NA,NA,NA,"No meta-analysis needed, only using UKB.",17930,"yes"
