,pair,p1,p2,OR,OR_lci,OR_uci,OR_p-value_original,Q-test,Q-test p-value,p_bh_heatmap,p_bh_scatter,within_domain
28,"Schizophrenia, schizotypal and delusional disorders Primary Malignancy_Bladder","Schizophrenia, schizotypal and delusional disorders",Primary Malignancy_Bladder,0.75,0.65,0.87,<0.0001,0.34,0.56,<0.0001,<0.0001,0
29,"Spondylolisthesis Schizophrenia, schizotypal and delusional disorders",Spondylolisthesis,"Schizophrenia, schizotypal and delusional disorders",0.76,0.67,0.87,<0.0001,10.75,<0.0001,<0.0001,<0.0001,0
30,"Primary Malignancy_Colorectal Schizophrenia, schizotypal and delusional disorders",Primary Malignancy_Colorectal,"Schizophrenia, schizotypal and delusional disorders",0.78,0.7,0.86,<0.0001,0.34,0.56,<0.0001,<0.0001,0
31,"Schizophrenia, schizotypal and delusional disorders Atrial fibrillation","Schizophrenia, schizotypal and delusional disorders",Atrial fibrillation,0.79,0.75,0.82,<0.0001,1.79,0.18,<0.0001,<0.0001,0
32,"Diverticular disease of intestine (acute and chronic) Schizophrenia, schizotypal and delusional disorders",Diverticular disease of intestine (acute and chronic),"Schizophrenia, schizotypal and delusional disorders",0.79,0.76,0.83,<0.0001,17,<0.0001,<0.0001,<0.0001,0
33,"Schizophrenia, schizotypal and delusional disorders Female genital prolapse","Schizophrenia, schizotypal and delusional disorders",Female genital prolapse,0.79,0.75,0.84,<0.0001,0.21,0.65,<0.0001,<0.0001,0
34,"Schizophrenia, schizotypal and delusional disorders Tinnitus","Schizophrenia, schizotypal and delusional disorders",Tinnitus,0.79,0.75,0.84,<0.0001,15.71,<0.0001,<0.0001,<0.0001,0
35,"Hypertension Schizophrenia, schizotypal and delusional disorders",Hypertension,"Schizophrenia, schizotypal and delusional disorders",0.81,0.79,0.83,<0.0001,84.41,<0.0001,<0.0001,<0.0001,0
36,"Sleep apnoea Schizophrenia, schizotypal and delusional disorders",Sleep apnoea,"Schizophrenia, schizotypal and delusional disorders",0.81,0.74,0.88,<0.0001,0.08,0.77,<0.0001,<0.0001,0
37,"Allergic and chronic rhinitis Schizophrenia, schizotypal and delusional disorders",Allergic and chronic rhinitis,"Schizophrenia, schizotypal and delusional disorders",0.81,0.78,0.84,<0.0001,44.62,<0.0001,<0.0001,<0.0001,0
38,Rheumatoid Arthritis Primary Malignancy_Breast,Rheumatoid Arthritis,Primary Malignancy_Breast,0.81,0.78,0.85,<0.0001,0.12,0.72,<0.0001,<0.0001,0
39,Migraine Diabetes type 2,Migraine,Diabetes type 2,0.82,0.81,0.83,<0.0001,191.74,<0.0001,<0.0001,<0.0001,0
40,Diabetes type 2 Primary Malignancy_Other Skin and subcutaneous tissue,Diabetes type 2,Primary Malignancy_Other Skin and subcutaneous tissue,0.82,0.81,0.83,<0.0001,579.12,<0.0001,<0.0001,<0.0001,0
41,Alcohol Problems Migraine,Alcohol Problems,Migraine,0.82,0.8,0.84,<0.0001,46.08,<0.0001,<0.0001,<0.0001,0
42,"Hyperplasia of prostate Schizophrenia, schizotypal and delusional disorders",Hyperplasia of prostate,"Schizophrenia, schizotypal and delusional disorders",0.82,0.78,0.86,<0.0001,0.34,0.56,<0.0001,<0.0001,0
43,Alcohol Problems Hyperplasia of prostate,Alcohol Problems,Hyperplasia of prostate,0.83,0.82,0.85,<0.0001,381.99,<0.0001,<0.0001,<0.0001,0
44,"Fibromyalgia Schizophrenia, schizotypal and delusional disorders",Fibromyalgia,"Schizophrenia, schizotypal and delusional disorders",0.84,0.75,0.94,<0.0001,4.03,0.04,<0.0001,<0.0001,0
45,Primary Malignancy_Colorectal Fibromyalgia,Primary Malignancy_Colorectal,Fibromyalgia,0.84,0.78,0.92,<0.0001,2.21,0.14,<0.0001,<0.0001,0
46,Alcohol Problems Urolithiasis,Alcohol Problems,Urolithiasis,0.85,0.82,0.87,<0.0001,21.68,<0.0001,<0.0001,<0.0001,0
47,Primary Malignancy_Bladder Female genital prolapse,Primary Malignancy_Bladder,Female genital prolapse,0.85,0.79,0.92,<0.0001,0.79,0.38,<0.0001,<0.0001,0
48,Osteoporosis Hypertension,Osteoporosis,Hypertension,0.85,0.85,0.86,<0.0001,354.46,<0.0001,<0.0001,<0.0001,0
49,Primary Malignancy_Other Skin and subcutaneous tissue Vitamin B12 deficiency anaemia,Primary Malignancy_Other Skin and subcutaneous tissue,Vitamin B12 deficiency anaemia,0.85,0.84,0.87,<0.0001,25.53,<0.0001,<0.0001,<0.0001,0
50,COPD Retinal detachments and breaks,COPD,Retinal detachments and breaks,0.86,0.83,0.89,<0.0001,21.61,<0.0001,<0.0001,<0.0001,0
51,Peripheral arterial disease Primary Malignancy_Prostate,Peripheral arterial disease,Primary Malignancy_Prostate,0.86,0.83,0.88,<0.0001,0,0.99,<0.0001,<0.0001,0
52,Diabetes type 2 Primary Malignancy_Prostate,Diabetes type 2,Primary Malignancy_Prostate,0.86,0.85,0.88,<0.0001,0.12,0.73,<0.0001,<0.0001,0
53,"Schizophrenia, schizotypal and delusional disorders Ulcerative colitis","Schizophrenia, schizotypal and delusional disorders",Ulcerative colitis,0.87,0.75,1,0.05,0,0.97,0.05,0.05,0
54,Primary Malignancy_Breast Polymyalgia Rheumatica,Primary Malignancy_Breast,Polymyalgia Rheumatica,0.87,0.84,0.9,<0.0001,0.75,0.39,<0.0001,<0.0001,0
55,Alcohol Problems Female genital prolapse,Alcohol Problems,Female genital prolapse,0.87,0.84,0.89,<0.0001,22.77,<0.0001,<0.0001,<0.0001,0
56,Obesity Scoliosis,Obesity,Scoliosis,0.87,0.86,0.89,<0.0001,3.07,0.08,<0.0001,<0.0001,0
57,"Gastro-oesophageal reflux disease Schizophrenia, schizotypal and delusional disorders",Gastro-oesophageal reflux disease,"Schizophrenia, schizotypal and delusional disorders",0.88,0.85,0.91,<0.0001,19.53,<0.0001,<0.0001,<0.0001,0
58,Rheumatoid Arthritis Primary Malignancy_Colorectal,Rheumatoid Arthritis,Primary Malignancy_Colorectal,0.88,0.83,0.94,<0.0001,0.32,0.57,<0.0001,<0.0001,0
59,Hypothyroidism (without hyper) Primary Malignancy_Other Skin and subcutaneous tissue,Hypothyroidism (without hyper),Primary Malignancy_Other Skin and subcutaneous tissue,0.89,0.88,0.9,<0.0001,5.82,0.02,<0.0001,<0.0001,0
60,"Osteoporosis Schizophrenia, schizotypal and delusional disorders",Osteoporosis,"Schizophrenia, schizotypal and delusional disorders",0.89,0.86,0.93,<0.0001,85.27,<0.0001,<0.0001,<0.0001,0
61,Female genital prolapse Primary Malignancy_Colorectal,Female genital prolapse,Primary Malignancy_Colorectal,0.89,0.86,0.93,<0.0001,9.47,<0.0001,<0.0001,<0.0001,0
62,Alcohol Problems Polymyalgia Rheumatica,Alcohol Problems,Polymyalgia Rheumatica,0.89,0.86,0.93,<0.0001,2.26,0.13,<0.0001,<0.0001,0
63,Obesity Primary Malignancy_Other Skin and subcutaneous tissue,Obesity,Primary Malignancy_Other Skin and subcutaneous tissue,0.9,0.89,0.91,<0.0001,74.13,<0.0001,<0.0001,<0.0001,0
64,Fibromatoses Obesity,Fibromatoses,Obesity,0.9,0.89,0.92,<0.0001,27.63,<0.0001,<0.0001,<0.0001,0
65,Alcohol Problems Primary Malignancy_Prostate,Alcohol Problems,Primary Malignancy_Prostate,0.91,0.88,0.93,<0.0001,26.59,<0.0001,<0.0001,<0.0001,0
66,"Coronary Heart Disease Schizophrenia, schizotypal and delusional disorders",Coronary Heart Disease,"Schizophrenia, schizotypal and delusional disorders",0.91,0.87,0.94,<0.0001,32.65,<0.0001,<0.0001,<0.0001,0
67,Heart failure Primary Malignancy_Prostate,Heart failure,Primary Malignancy_Prostate,0.91,0.89,0.93,<0.0001,1.52,0.22,<0.0001,<0.0001,0
68,All stroke Primary Malignancy_Prostate,All stroke,Primary Malignancy_Prostate,0.91,0.89,0.93,<0.0001,0.51,0.48,<0.0001,<0.0001,0
69,Peripheral arterial disease Hyperplasia of prostate,Peripheral arterial disease,Hyperplasia of prostate,0.92,0.9,0.93,<0.0001,40.89,<0.0001,<0.0001,<0.0001,0
70,Primary Malignancy_Colorectal Spondylolisthesis,Primary Malignancy_Colorectal,Spondylolisthesis,0.92,0.85,0.99,0.02,0.47,0.49,0.03,0.03,0
71,"Schizophrenia, schizotypal and delusional disorders Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)","Schizophrenia, schizotypal and delusional disorders",Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),0.92,0.86,0.98,0.01,3.17,0.07,0.01,0.01,0
72,COPD Female genital prolapse,COPD,Female genital prolapse,0.92,0.9,0.94,<0.0001,6.58,0.01,<0.0001,<0.0001,0
73,Retinal detachments and breaks Alcohol Problems,Retinal detachments and breaks,Alcohol Problems,0.92,0.88,0.96,<0.0001,0.05,0.82,<0.0001,<0.0001,0
74,Primary Malignancy_Other Skin and subcutaneous tissue Hyperthyroidism (without hypo),Primary Malignancy_Other Skin and subcutaneous tissue,Hyperthyroidism (without hypo),0.92,0.9,0.95,<0.0001,6.3,0.01,<0.0001,<0.0001,0
75,Diabetes type 2 Tinnitus,Diabetes type 2,Tinnitus,0.93,0.92,0.94,<0.0001,23.47,<0.0001,<0.0001,<0.0001,0
76,Primary Malignancy_Prostate Coronary Heart Disease,Primary Malignancy_Prostate,Coronary Heart Disease,0.93,0.91,0.94,<0.0001,0.07,0.79,<0.0001,<0.0001,0
77,Raynaud's syndrome Primary Malignancy_Breast,Raynaud's syndrome,Primary Malignancy_Breast,0.93,0.89,0.97,<0.0001,1.81,0.18,<0.0001,<0.0001,0
78,Migraine Primary Malignancy_Colorectal,Migraine,Primary Malignancy_Colorectal,0.93,0.9,0.97,<0.0001,8.87,<0.0001,<0.0001,<0.0001,0
79,Diabetes type 2 Irritable bowel syndrome,Diabetes type 2,Irritable bowel syndrome,0.93,0.92,0.94,<0.0001,3.21,0.07,<0.0001,<0.0001,0
80,Glaucoma Abdominal aortic aneurysm,Glaucoma,Abdominal aortic aneurysm,0.93,0.89,0.98,<0.0001,0,0.95,<0.0001,<0.0001,0
81,Alcohol Problems Primary Malignancy_Other Skin and subcutaneous tissue,Alcohol Problems,Primary Malignancy_Other Skin and subcutaneous tissue,0.93,0.91,0.95,<0.0001,1.66,0.2,<0.0001,<0.0001,0
82,Fibromatoses Heart failure,Fibromatoses,Heart failure,0.93,0.91,0.96,<0.0001,0,0.98,<0.0001,<0.0001,0
83,Retinal detachments and breaks Diabetes type 2,Retinal detachments and breaks,Diabetes type 2,0.93,0.91,0.96,<0.0001,9.67,<0.0001,<0.0001,<0.0001,0
84,"Schizophrenia, schizotypal and delusional disorders Asthma","Schizophrenia, schizotypal and delusional disorders",Asthma,0.93,0.9,0.97,<0.0001,16.42,<0.0001,<0.0001,<0.0001,0
85,Intervertebral disc disorders Primary Malignancy_Colorectal,Intervertebral disc disorders,Primary Malignancy_Colorectal,0.93,0.91,0.96,<0.0001,14.35,<0.0001,<0.0001,<0.0001,0
86,Fibromatoses Chronic kidney disease,Fibromatoses,Chronic kidney disease,0.94,0.92,0.95,<0.0001,9.53,<0.0001,<0.0001,<0.0001,0
87,Primary Malignancy_Prostate COPD,Primary Malignancy_Prostate,COPD,0.94,0.92,0.96,<0.0001,0.95,0.33,<0.0001,<0.0001,0
88,Primary Malignancy_Breast Fibromyalgia,Primary Malignancy_Breast,Fibromyalgia,0.94,0.9,0.98,<0.0001,2.21,0.14,<0.0001,<0.0001,0
89,Vitamin B12 deficiency anaemia Primary Malignancy_Breast,Vitamin B12 deficiency anaemia,Primary Malignancy_Breast,0.94,0.91,0.97,<0.0001,2.16,0.14,<0.0001,<0.0001,0
90,Alcohol Problems Hypothyroidism (without hyper),Alcohol Problems,Hypothyroidism (without hyper),0.94,0.92,0.96,<0.0001,1.44,0.23,<0.0001,<0.0001,0
91,Ulcerative colitis Obesity,Ulcerative colitis,Obesity,0.94,0.91,0.97,<0.0001,16.78,<0.0001,<0.0001,<0.0001,0
92,Primary Malignancy_Colorectal Hypothyroidism (without hyper),Primary Malignancy_Colorectal,Hypothyroidism (without hyper),0.94,0.91,0.97,<0.0001,6.38,0.01,<0.0001,<0.0001,0
93,"Hearing loss Schizophrenia, schizotypal and delusional disorders",Hearing loss,"Schizophrenia, schizotypal and delusional disorders",0.94,0.91,0.97,<0.0001,0.16,0.69,<0.0001,<0.0001,0
94,Chronic kidney disease Osteoporosis,Chronic kidney disease,Osteoporosis,0.94,0.94,0.95,<0.0001,175.11,<0.0001,<0.0001,<0.0001,0
95,"Schizophrenia, schizotypal and delusional disorders Psoriasis","Schizophrenia, schizotypal and delusional disorders",Psoriasis,0.94,0.89,1,0.05,1.15,0.28,0.06,0.06,0
96,Bursitis Primary Malignancy_Colorectal,Bursitis,Primary Malignancy_Colorectal,0.95,0.92,0.98,<0.0001,4.88,0.03,<0.0001,<0.0001,0
97,Primary Malignancy_Colorectal Enthesopathies of the shoulder,Primary Malignancy_Colorectal,Enthesopathies of the shoulder,0.95,0.93,0.97,<0.0001,1.62,0.2,<0.0001,<0.0001,0
98,Primary Malignancy_Breast Iron deficiency anaemia,Primary Malignancy_Breast,Iron deficiency anaemia,0.95,0.93,0.97,<0.0001,18.35,<0.0001,<0.0001,<0.0001,0
99,Peripheral arterial disease Primary Malignancy_Breast,Peripheral arterial disease,Primary Malignancy_Breast,0.95,0.91,0.99,0.01,0.02,0.89,0.01,0.01,0
100,Hypothyroidism (without hyper) Primary Malignancy_Prostate,Hypothyroidism (without hyper),Primary Malignancy_Prostate,0.95,0.92,0.98,<0.0001,10.82,<0.0001,<0.0001,<0.0001,0
101,Erectile dysfunction Primary Malignancy_Breast,Erectile dysfunction,Primary Malignancy_Breast,0.95,0.81,1.12,0.54,0.06,0.81,0.55,0.55,0
102,Asthma Abdominal aortic aneurysm,Asthma,Abdominal aortic aneurysm,0.95,0.91,0.99,0.03,0.55,0.46,0.03,0.03,0
103,Hyperplasia of prostate Diabetes type 2,Hyperplasia of prostate,Diabetes type 2,0.95,0.94,0.96,<0.0001,20.2,<0.0001,<0.0001,<0.0001,0
104,COPD Primary Malignancy_Other Skin and subcutaneous tissue,COPD,Primary Malignancy_Other Skin and subcutaneous tissue,0.95,0.94,0.96,<0.0001,93.6,<0.0001,<0.0001,<0.0001,0
105,Alcohol Problems Chronic sinusitis,Alcohol Problems,Chronic sinusitis,0.95,0.93,0.97,<0.0001,3.53,0.06,<0.0001,<0.0001,0
106,Allergic and chronic rhinitis Peripheral arterial disease,Allergic and chronic rhinitis,Peripheral arterial disease,0.95,0.93,0.97,<0.0001,16.75,<0.0001,<0.0001,<0.0001,0
107,Chronic kidney disease Scoliosis,Chronic kidney disease,Scoliosis,0.95,0.93,0.98,<0.0001,5.46,0.02,<0.0001,<0.0001,0
108,"Schizophrenia, schizotypal and delusional disorders Glaucoma","Schizophrenia, schizotypal and delusional disorders",Glaucoma,0.96,0.91,1.01,0.08,37.29,<0.0001,0.08,0.08,0
109,Rheumatoid Arthritis Retinal detachments and breaks,Rheumatoid Arthritis,Retinal detachments and breaks,0.96,0.89,1.03,0.22,1.78,0.18,0.22,0.23,0
110,Hyperthyroidism (without hypo) Alcohol Problems,Hyperthyroidism (without hypo),Alcohol Problems,0.96,0.92,1,0.06,0.21,0.65,0.06,0.06,0
111,Primary Malignancy_Breast Peptic ulcer disease,Primary Malignancy_Breast,Peptic ulcer disease,0.96,0.93,0.99,0.02,9.81,<0.0001,0.02,0.02,0
112,Scoliosis Primary Malignancy_Colorectal,Scoliosis,Primary Malignancy_Colorectal,0.96,0.91,1.02,0.17,0.07,0.78,0.17,0.17,0
113,Chronic sinusitis Diabetes type 2,Chronic sinusitis,Diabetes type 2,0.96,0.95,0.97,<0.0001,72.91,<0.0001,<0.0001,<0.0001,0
114,Fibromatoses Coronary Heart Disease,Fibromatoses,Coronary Heart Disease,0.96,0.95,0.98,<0.0001,2.87,0.09,<0.0001,<0.0001,0
115,"Irritable bowel syndrome Schizophrenia, schizotypal and delusional disorders",Irritable bowel syndrome,"Schizophrenia, schizotypal and delusional disorders",0.96,0.91,1.02,0.16,0.03,0.86,0.17,0.17,0
116,Irritable bowel syndrome Primary Malignancy_Colorectal,Irritable bowel syndrome,Primary Malignancy_Colorectal,0.96,0.93,1,0.06,2.86,0.09,0.06,0.06,0
117,Ulcerative colitis Hypertension,Ulcerative colitis,Hypertension,0.97,0.94,0.99,<0.0001,9.01,<0.0001,<0.0001,<0.0001,0
118,Abdominal aortic aneurysm Fibromatoses,Abdominal aortic aneurysm,Fibromatoses,0.97,0.9,1.03,0.33,4,0.05,0.34,0.34,0
119,Coronary Heart Disease Primary Malignancy_Breast,Coronary Heart Disease,Primary Malignancy_Breast,0.97,0.95,0.99,<0.0001,0.64,0.42,<0.0001,<0.0001,0
120,Carpal tunnel syndrome Primary Malignancy_Colorectal,Carpal tunnel syndrome,Primary Malignancy_Colorectal,0.97,0.94,1,0.04,0.42,0.52,0.04,0.04,0
121,Fibromatoses Hypertension,Fibromatoses,Hypertension,0.97,0.96,0.98,<0.0001,61.38,<0.0001,<0.0001,<0.0001,0
122,Alcohol Problems Ulcerative colitis,Alcohol Problems,Ulcerative colitis,0.97,0.92,1.02,0.24,18.64,<0.0001,0.25,0.25,0
123,Primary Malignancy_Colorectal Enthesopathies of the upper body,Primary Malignancy_Colorectal,Enthesopathies of the upper body,0.97,0.95,0.99,<0.0001,10.88,<0.0001,<0.0001,<0.0001,0
124,Spondylosis Primary Malignancy_Colorectal,Spondylosis,Primary Malignancy_Colorectal,0.97,0.95,0.99,0.01,5.54,0.02,0.01,0.01,0
125,Osteoarthritis (excl spine) Primary Malignancy_Colorectal,Osteoarthritis (excl spine),Primary Malignancy_Colorectal,0.97,0.96,0.99,<0.0001,21.36,<0.0001,<0.0001,<0.0001,0
126,Gout Hyperplasia of prostate,Gout,Hyperplasia of prostate,0.97,0.96,0.98,<0.0001,1.05,0.31,<0.0001,<0.0001,0
127,Enthesopathies of the lower body Primary Malignancy_Colorectal,Enthesopathies of the lower body,Primary Malignancy_Colorectal,0.97,0.95,1,0.03,0.02,0.89,0.03,0.03,0
128,Primary Malignancy_Bladder Asthma,Primary Malignancy_Bladder,Asthma,0.97,0.93,1.01,0.13,20.09,<0.0001,0.13,0.13,0
129,Chronic sinusitis Primary Malignancy_Colorectal,Chronic sinusitis,Primary Malignancy_Colorectal,0.97,0.94,1.01,0.12,1.14,0.29,0.12,0.12,0
130,Obesity Primary Malignancy_Prostate,Obesity,Primary Malignancy_Prostate,0.97,0.95,0.99,<0.0001,5.85,0.02,<0.0001,<0.0001,0
131,Female genital prolapse Diabetes type 2,Female genital prolapse,Diabetes type 2,0.97,0.96,0.98,<0.0001,12.77,<0.0001,<0.0001,<0.0001,0
132,Tendon disorders Primary Malignancy_Colorectal,Tendon disorders,Primary Malignancy_Colorectal,0.97,0.95,0.99,0.01,5.59,0.02,0.01,0.01,0
133,Alcohol Problems Rheumatoid Arthritis,Alcohol Problems,Rheumatoid Arthritis,0.97,0.94,1.01,0.14,6.28,0.01,0.15,0.15,0
134,Coronary Heart Disease Retinal detachments and breaks,Coronary Heart Disease,Retinal detachments and breaks,0.97,0.95,1,0.04,2.98,0.08,0.05,0.05,0
135,Scoliosis Hypertension,Scoliosis,Hypertension,0.97,0.96,0.99,<0.0001,18.4,<0.0001,<0.0001,<0.0001,0
136,Retinal detachments and breaks Vitamin B12 deficiency anaemia,Retinal detachments and breaks,Vitamin B12 deficiency anaemia,0.97,0.93,1.02,0.24,3.06,0.08,0.25,0.25,0
137,Primary Malignancy_Colorectal Asthma,Primary Malignancy_Colorectal,Asthma,0.97,0.95,1,0.05,1.98,0.16,0.05,0.05,0
138,Primary Malignancy_Prostate Ischaemic stroke and TIA,Primary Malignancy_Prostate,Ischaemic stroke and TIA,0.97,0.95,1,0.04,0.25,0.62,0.04,0.04,0
139,Psoriasis Primary Malignancy_Prostate,Psoriasis,Primary Malignancy_Prostate,0.97,0.95,1,0.07,0.22,0.64,0.07,0.07,0
140,Allergic and chronic rhinitis Primary Malignancy_Colorectal,Allergic and chronic rhinitis,Primary Malignancy_Colorectal,0.97,0.95,1,0.03,3.1,0.08,0.03,0.03,0
141,Retinal detachments and breaks Obesity,Retinal detachments and breaks,Obesity,0.98,0.95,1,0.07,9.06,<0.0001,0.08,0.08,0
142,Alcohol Problems Glaucoma,Alcohol Problems,Glaucoma,0.98,0.95,1,0.03,21.71,<0.0001,0.03,0.03,0
143,Primary Malignancy_Breast Chronic kidney disease,Primary Malignancy_Breast,Chronic kidney disease,0.98,0.96,0.99,<0.0001,14.53,<0.0001,<0.0001,<0.0001,0
144,Primary Malignancy_Prostate Hyperplasia of prostate,Primary Malignancy_Prostate,Hyperplasia of prostate,0.98,0.97,0.99,<0.0001,3154.19,<0.0001,<0.0001,<0.0001,0
145,Heart failure Tinnitus,Heart failure,Tinnitus,0.98,0.96,1,0.03,39.45,<0.0001,0.03,0.03,0
146,"Schizophrenia, schizotypal and delusional disorders Cholelithiasis","Schizophrenia, schizotypal and delusional disorders",Cholelithiasis,0.98,0.93,1.03,0.41,0.87,0.35,0.42,0.42,0
147,Iron deficiency anaemia Primary Malignancy_Other Skin and subcutaneous tissue,Iron deficiency anaemia,Primary Malignancy_Other Skin and subcutaneous tissue,0.98,0.96,0.99,0.01,49.78,<0.0001,0.01,0.01,0
148,Allergic and chronic rhinitis Primary Malignancy_Bladder,Allergic and chronic rhinitis,Primary Malignancy_Bladder,0.98,0.95,1.01,0.27,8.2,<0.0001,0.28,0.28,0
149,Alcohol Problems Enthesopathies of the lower body,Alcohol Problems,Enthesopathies of the lower body,0.98,0.97,1,0.03,3.16,0.08,0.03,0.03,0
150,COPD Tinnitus,COPD,Tinnitus,0.98,0.97,1,0.04,12.24,<0.0001,0.04,0.04,0
151,Primary Malignancy_Colorectal Tinnitus,Primary Malignancy_Colorectal,Tinnitus,0.98,0.96,1.01,0.3,1.87,0.17,0.3,0.3,0
152,Hypothyroidism (without hyper) Scoliosis,Hypothyroidism (without hyper),Scoliosis,0.98,0.96,1.01,0.29,5.35,0.02,0.29,0.29,0
