"","p1","p2","rg","rg_lci","rg_uci","rg_se","rg_p","rg_p_fdr_heatmap","p_fdr_scatter","p1_icd_chapter_name","p2_icd_chapter_name","p1_data_sources","p2_data_sources","within_domain"
"11","Enthesopathies of the shoulder","Enthesopathies of the upper body",0.88,0.84,0.92,0.02,"<0.0001","<0.0001",NA,"Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1, 2","1",1
"12","Gastro-oesophageal reflux disease","Gastritis and duodeniti",0.86,0.8,0.91,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the digestive system","2, 3","1",1
"13","Fibromyalgia","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)",0.85,0.61,1.09,0.12,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the nervous system","1","1",0
"14","All stroke","Transient ischaemic attack",0.85,0.76,0.94,0.05,"<0.0001","<0.0001",NA,"Diseases of the circulatory system","Diseases of the circulatory system","1, 2","1, 2",1
"15","Intervertebral disc disorders","Spondylosis",0.84,0.78,0.91,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1, 2","1",1
"16","Anxiety disorders","Depression",0.84,0.8,0.87,0.02,"<0.0001","<0.0001","<0.0001","Mental and behavioural disorders","Mental and behavioural disorders","1, 2","3",1
"17","Tendon disorders","Enthesopathies of the lower body",0.83,0.72,0.94,0.06,"<0.0001","<0.0001",NA,"Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1, 2","1, 2",1
"18","Tendon disorders","Enthesopathies of the shoulder",0.82,0.77,0.87,0.02,"<0.0001","<0.0001",NA,"Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1, 2","1, 2",1
"19","Enthesopathies of the lower body","Spondylosis",0.81,0.68,0.95,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1, 2","1",1
"20","Gastritis and duodeniti","Peptic ulcer disease",0.8,0.7,0.9,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the digestive system","1","1, 2",1
"21","Fibromyalgia","Spondylosis",0.78,0.63,0.92,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1","1",1
"22","Tendon disorders","Spondylosis",0.77,0.68,0.86,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1, 2","1",1
"23","Enthesopathies of the lower body","Irritable bowel syndrome",0.77,0.56,0.98,0.11,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the digestive system","1, 2","2, 3",0
"24","Bursitis","Enthesopathies of the upper body",0.77,0.63,0.91,0.07,"<0.0001","<0.0001",NA,"Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1","1",1
"25","Fibromyalgia","Gastritis and duodeniti",0.76,0.61,0.91,0.08,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the digestive system","1","1",0
"26","Ischaemic stroke and TIA","Peripheral arterial disease",0.76,0.55,0.96,0.1,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the circulatory system","1","1",1
"27","Intervertebral disc disorders","Fibromyalgia",0.75,0.63,0.88,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1, 2","1",1
"28","Tendon disorders","Bursitis",0.75,0.59,0.91,0.08,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1, 2","1",1
"29","Spondylosis","Osteoarthritis (excl spine)",0.74,0.68,0.8,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1","2, 3",1
"30","Anxiety disorders","Irritable bowel syndrome",0.73,0.58,0.88,0.08,"<0.0001","<0.0001","<0.0001","Mental and behavioural disorders","Diseases of the digestive system","1, 2","2, 3",0
"31","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)","Spondylosis",0.73,0.6,0.85,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the musculoskeletal system and connective tissue","1","1",0
"32","Enthesopathies of the shoulder","Enthesopathies of the lower body",0.72,0.61,0.83,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1, 2","1, 2",1
"33","Bursitis","Enthesopathies of the lower body",0.71,0.56,0.86,0.08,"<0.0001","<0.0001",NA,"Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1","1, 2",1
"34","Irritable bowel syndrome","Gastritis and duodeniti",0.71,0.52,0.9,0.1,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the digestive system","2, 3","1",1
"35","Spondylosis","Spondylolisthesis",0.71,0.55,0.87,0.08,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1","1",1
"36","Bursitis","Spondylosis",0.71,0.53,0.88,0.09,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1","1",1
"37","Peripheral arterial disease","Peptic ulcer disease",0.7,0.53,0.88,0.09,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the digestive system","1","1, 2",0
"38","Peripheral arterial disease","Coronary Heart Disease",0.7,0.59,0.82,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the circulatory system","1","2, 3",1
"39","Enthesopathies of the lower body","Osteoarthritis (excl spine)",0.69,0.6,0.79,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1, 2","2, 3",1
"40","Asthma","Allergic and chronic rhinitis",0.69,0.63,0.75,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Diseases of the respiratory system","2, 3","1, 2",1
"41","Fibromyalgia","Enthesopathies of the upper body",0.69,0.53,0.84,0.08,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1","1",1
"42","Insomnia","Enthesopathies of the lower body",0.68,0.47,0.89,0.11,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the musculoskeletal system and connective tissue","1","1, 2",0
"43","Gastritis and duodeniti","Spondylosis",0.68,0.58,0.78,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the musculoskeletal system and connective tissue","1","1",0
"44","Bursitis","Enthesopathies of the shoulder",0.68,0.53,0.82,0.07,"<0.0001","<0.0001",NA,"Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1","1, 2",1
"45","Gastro-oesophageal reflux disease","Irritable bowel syndrome",0.67,0.53,0.81,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the digestive system","2, 3","2, 3",1
"46","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)","Osteoarthritis (excl spine)",0.67,0.55,0.78,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the musculoskeletal system and connective tissue","1","2, 3",0
"47","Bursitis","Osteoarthritis (excl spine)",0.67,0.53,0.8,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1","2, 3",1
"48","Carpal tunnel syndrome","Tendon disorders",0.67,0.61,0.72,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the musculoskeletal system and connective tissue","1, 2","1, 2",0
"49","Gastro-oesophageal reflux disease","Spondylosis",0.67,0.59,0.74,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the musculoskeletal system and connective tissue","2, 3","1",0
"50","Irritable bowel syndrome","Spondylosis",0.66,0.48,0.85,0.09,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the musculoskeletal system and connective tissue","2, 3","1",0
"51","Chronic sinusitis","Irritable bowel syndrome",0.66,0.41,0.9,0.12,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Diseases of the digestive system","1","2, 3",0
"52","Peptic ulcer disease","Fibromyalgia",0.66,0.46,0.85,0.1,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the musculoskeletal system and connective tissue","1, 2","1",0
"53","Fibromyalgia","Irritable bowel syndrome",0.65,0.4,0.9,0.13,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the digestive system","1","2, 3",0
"54","Enthesopathies of the upper body","Spondylosis",0.65,0.57,0.74,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1","1",1
"55","Depression","Fibromyalgia",0.65,0.54,0.76,0.06,"<0.0001","<0.0001","<0.0001","Mental and behavioural disorders","Diseases of the musculoskeletal system and connective tissue","3","1",0
"56","Intervertebral disc disorders","Enthesopathies of the lower body",0.64,0.55,0.74,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1, 2","1, 2",1
"57","Obesity","Sleep apnoea",0.64,0.61,0.68,0.02,"<0.0001","<0.0001","<0.0001","Endocrine, nutritional and metabolic diseases","Diseases of the nervous system","1, 2","1, 2",0
"58","Peripheral arterial disease","Heart failure",0.64,0.52,0.76,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the circulatory system","1","2, 3",1
"59","Hypertension","Heart failure",0.64,0.6,0.69,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the circulatory system","1, 2","2, 3",1
"60","Enthesopathies of the shoulder","Spondylosis",0.64,0.57,0.71,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1, 2","1",1
"61","COPD","Peripheral arterial disease",0.64,0.53,0.75,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Diseases of the circulatory system","1, 2","1",0
"62","Insomnia","Anxiety disorders",0.64,0.51,0.77,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Mental and behavioural disorders","1","1, 2",0
"63","Tendon disorders","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)",0.64,0.51,0.76,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the nervous system","1, 2","1",0
"64","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)","Enthesopathies of the upper body",0.63,0.49,0.77,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the musculoskeletal system and connective tissue","1","1",0
"65","Fibromyalgia","Enthesopathies of the shoulder",0.63,0.51,0.75,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1","1, 2",1
"66","Hypertension","Ischaemic stroke and TIA",0.63,0.53,0.73,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the circulatory system","1, 2","1",1
"67","Spondylosis","Peripheral arterial disease",0.63,0.48,0.78,0.08,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the circulatory system","1","1",0
"68","Enthesopathies of the lower body","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)",0.63,0.45,0.81,0.09,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the nervous system","1, 2","1",0
"69","Fibromyalgia","Gastro-oesophageal reflux disease",0.63,0.51,0.74,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the digestive system","1","2, 3",0
"70","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)","Spondylolisthesis",0.63,0.4,0.85,0.12,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the musculoskeletal system and connective tissue","1","1",0
"71","Coronary Heart Disease","Ischaemic stroke and TIA",0.62,0.52,0.73,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the circulatory system","2, 3","1",1
"72","Enthesopathies of the lower body","Enthesopathies of the upper body",0.62,0.5,0.74,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1, 2","1",1
"73","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)","Gastritis and duodeniti",0.62,0.47,0.77,0.08,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the digestive system","1","1",0
"74","Intervertebral disc disorders","Irritable bowel syndrome",0.62,0.47,0.76,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the digestive system","1, 2","2, 3",0
"75","Fibromyalgia","Anxiety disorders",0.61,0.5,0.72,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Mental and behavioural disorders","1","1, 2",0
"76","Gastro-oesophageal reflux disease","Peptic ulcer disease",0.61,0.54,0.69,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the digestive system","2, 3","1, 2",1
"77","Fibromyalgia","Tendon disorders",0.61,0.48,0.75,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1","1, 2",1
"78","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)","Enthesopathies of the shoulder",0.61,0.47,0.74,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the musculoskeletal system and connective tissue","1","1, 2",0
"79","Atrial fibrillation","Heart failure",0.6,0.55,0.65,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the circulatory system","2, 3","2, 3",1
"80","Tendon disorders","Osteoarthritis (excl spine)",0.6,0.55,0.66,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1, 2","2, 3",1
"81","Heart failure","Coronary Heart Disease",0.6,0.56,0.65,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the circulatory system","2, 3","2, 3",1
"82","Heart failure","Ischaemic stroke and TIA",0.6,0.46,0.74,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the circulatory system","2, 3","1",1
"83","Obesity","Heart failure",0.6,0.55,0.65,0.02,"<0.0001","<0.0001","<0.0001","Endocrine, nutritional and metabolic diseases","Diseases of the circulatory system","1, 2","2, 3",0
"84","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)","Bursitis",0.6,0.38,0.81,0.11,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the musculoskeletal system and connective tissue","1","1",0
"85","Fibromyalgia","Urinary Incontinence",0.59,0.44,0.75,0.08,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the genitourinary system","1","1",0
"86","Diabetes type 2","Obesity",0.59,0.55,0.63,0.02,"<0.0001","<0.0001","<0.0001","Endocrine, nutritional and metabolic diseases","Endocrine, nutritional and metabolic diseases","2, 3","1, 2",1
"87","Insomnia","Gastritis and duodeniti",0.59,0.42,0.76,0.09,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the digestive system","1","1",0
"88","COPD","Asthma",0.59,0.55,0.63,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Diseases of the respiratory system","1, 2","2, 3",1
"89","Heart failure","Nonrheumatic valve disease",0.58,0.5,0.66,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the circulatory system","2, 3","1, 2",1
"90","Peripheral arterial disease","All stroke",0.58,0.43,0.73,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the circulatory system","1","1, 2",1
"91","Insomnia","Depression",0.58,0.47,0.69,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Mental and behavioural disorders","1","3",0
"92","COPD","Spondylosis",0.58,0.51,0.66,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Diseases of the musculoskeletal system and connective tissue","1, 2","1",0
"93","Tendon disorders","Intervertebral disc disorders",0.58,0.52,0.64,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1, 2","1, 2",1
"94","All stroke","Hypertension",0.57,0.52,0.63,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the circulatory system","1, 2","1, 2",1
"95","Carpal tunnel syndrome","Enthesopathies of the upper body",0.57,0.51,0.64,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the musculoskeletal system and connective tissue","1, 2","1",0
"96","Coronary Heart Disease","Transient ischaemic attack",0.57,0.5,0.65,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the circulatory system","2, 3","1, 2",1
"97","Depression","Irritable bowel syndrome",0.57,0.43,0.71,0.07,"<0.0001","<0.0001","<0.0001","Mental and behavioural disorders","Diseases of the digestive system","3","2, 3",0
"98","Enthesopathies of the lower body","Gastro-oesophageal reflux disease",0.57,0.48,0.67,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the digestive system","1, 2","2, 3",0
"99","Fibromyalgia","Enthesopathies of the lower body",0.57,0.37,0.77,0.1,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1","1, 2",1
"100","Chronic sinusitis","Allergic and chronic rhinitis",0.57,0.42,0.71,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Diseases of the respiratory system","1","1, 2",1
"101","Chronic sinusitis","Gastritis and duodeniti",0.57,0.42,0.72,0.08,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Diseases of the digestive system","1","1",0
"102","Nonrheumatic valve disease","Ischaemic stroke and TIA",0.57,0.42,0.71,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the circulatory system","1, 2","1",1
"103","Irritable bowel syndrome","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)",0.57,0.32,0.81,0.12,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the nervous system","2, 3","1",0
"104","Bursitis","Fibromyalgia",0.57,0.32,0.82,0.13,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1","1",1
"105","Spondylosis","Carpal tunnel syndrome",0.56,0.49,0.63,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the nervous system","1","1, 2",0
"106","Atrial fibrillation","Nonrheumatic valve disease",0.56,0.5,0.62,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the circulatory system","2, 3","1, 2",1
"107","Intervertebral disc disorders","Osteoarthritis (excl spine)",0.56,0.51,0.61,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1, 2","2, 3",1
"108","Gastritis and duodeniti","Anxiety disorders",0.56,0.5,0.62,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Mental and behavioural disorders","1","1, 2",0
"109","Enthesopathies of the upper body","Gastritis and duodeniti",0.56,0.47,0.64,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the digestive system","1","1",0
"110","Intervertebral disc disorders","Peptic ulcer disease",0.56,0.46,0.65,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the digestive system","1, 2","1, 2",0
"111","Irritable bowel syndrome","Allergic and chronic rhinitis",0.56,0.4,0.72,0.08,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the respiratory system","2, 3","1, 2",0
"112","Intervertebral disc disorders","Enthesopathies of the shoulder",0.55,0.5,0.61,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1, 2","1, 2",1
"113","Tendon disorders","Gastritis and duodeniti",0.55,0.48,0.63,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the digestive system","1, 2","1",0
"114","COPD","Peptic ulcer disease",0.55,0.46,0.65,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Diseases of the digestive system","1, 2","1, 2",0
"115","Peripheral arterial disease","Hypertension",0.55,0.46,0.64,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the circulatory system","1","1, 2",1
"116","Gastritis and duodeniti","Enthesopathies of the lower body",0.55,0.43,0.67,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the musculoskeletal system and connective tissue","1","1, 2",0
"117","Urinary Incontinence","Spondylosis",0.55,0.45,0.65,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the genitourinary system","Diseases of the musculoskeletal system and connective tissue","1","1",0
"118","Abdominal aortic aneurysm","Insomnia",0.29,0.11,0.47,0.09,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the nervous system","1, 2","1",0
"119","Spondylolisthesis","Osteoarthritis (excl spine)",0.54,0.43,0.66,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1","2, 3",1
"120","Tendon disorders","Gastro-oesophageal reflux disease",0.54,0.49,0.59,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the digestive system","1, 2","2, 3",0
"121","Osteoarthritis (excl spine)","Obesity",0.54,0.51,0.57,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Endocrine, nutritional and metabolic diseases","2, 3","1, 2",0
"122","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)","Gastro-oesophageal reflux disease",0.54,0.43,0.65,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the digestive system","1","2, 3",0
"123","Carpal tunnel syndrome","Osteoarthritis (excl spine)",0.54,0.49,0.59,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the musculoskeletal system and connective tissue","1, 2","2, 3",0
"124","Enthesopathies of the shoulder","Osteoarthritis (excl spine)",0.54,0.49,0.59,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1, 2","2, 3",1
"125","Irritable bowel syndrome","Peptic ulcer disease",0.54,0.35,0.73,0.1,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the digestive system","2, 3","1, 2",1
"126","Coronary Heart Disease","Hypertension",0.54,0.51,0.57,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the circulatory system","2, 3","1, 2",1
"127","Intervertebral disc disorders","Spondylolisthesis",0.54,0.41,0.67,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1, 2","1",1
"128","Spondylosis","Peptic ulcer disease",0.54,0.42,0.66,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the digestive system","1","1, 2",0
"129","Gastritis and duodeniti","Enthesopathies of the shoulder",0.54,0.46,0.61,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the musculoskeletal system and connective tissue","1","1, 2",0
"130","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)","Carpal tunnel syndrome",0.54,0.43,0.65,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the nervous system","1","1, 2",1
"131","COPD","Fibromyalgia",0.53,0.41,0.66,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Diseases of the musculoskeletal system and connective tissue","1, 2","1",0
"132","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)","Intervertebral disc disorders",0.53,0.42,0.64,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the musculoskeletal system and connective tissue","1","1, 2",0
"133","Intervertebral disc disorders","Gastritis and duodeniti",0.53,0.47,0.59,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the digestive system","1, 2","1",0
"134","Fibromyalgia","Chronic sinusitis",0.53,0.32,0.74,0.11,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the respiratory system","1","1",0
"135","Bursitis","Gastritis and duodeniti",0.53,0.37,0.68,0.08,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the digestive system","1","1",0
"136","Urinary Incontinence","Erectile dysfunction",0.52,0.35,0.69,0.09,"<0.0001","<0.0001","<0.0001","Diseases of the genitourinary system","Diseases of the genitourinary system","1","1",1
